"dest","date","rtt"
"178.132.82.149","Thu Dec 03 2020 11:32:32 GMT+0330 (Iran Standard Time)",193
"178.132.82.149","Thu Dec 03 2020 11:32:33 GMT+0330 (Iran Standard Time)",136
"178.132.82.149","Thu Dec 03 2020 11:32:34 GMT+0330 (Iran Standard Time)",135
"178.132.82.149","Thu Dec 03 2020 11:36:02 GMT+0330 (Iran Standard Time)",238
"178.132.82.149","Thu Dec 03 2020 11:36:03 GMT+0330 (Iran Standard Time)",144
"178.132.82.149","Thu Dec 03 2020 11:36:04 GMT+0330 (Iran Standard Time)",137
"178.132.82.149","Thu Dec 03 2020 11:36:05 GMT+0330 (Iran Standard Time)",323
"178.132.82.149","Thu Dec 03 2020 11:36:06 GMT+0330 (Iran Standard Time)",334
"178.132.82.149","Thu Dec 03 2020 11:36:07 GMT+0330 (Iran Standard Time)",162
"178.132.82.149","Thu Dec 03 2020 11:36:08 GMT+0330 (Iran Standard Time)",175
"178.132.82.149","Thu Dec 03 2020 11:36:09 GMT+0330 (Iran Standard Time)",136
"178.132.82.149","Thu Dec 03 2020 11:36:10 GMT+0330 (Iran Standard Time)",138
"178.132.82.149","Thu Dec 03 2020 11:36:11 GMT+0330 (Iran Standard Time)",136
"178.132.82.149","Thu Dec 03 2020 11:36:12 GMT+0330 (Iran Standard Time)",263
"178.132.82.149","Thu Dec 03 2020 11:36:13 GMT+0330 (Iran Standard Time)",136
"178.132.82.149","Thu Dec 03 2020 11:44:01 GMT+0330 (Iran Standard Time)",139
"178.132.82.149","Thu Dec 03 2020 11:44:01 GMT+0330 (Iran Standard Time)",139
"178.132.82.149","Thu Dec 03 2020 11:44:01 GMT+0330 (Iran Standard Time)",139
"178.132.82.149","Thu Dec 03 2020 11:44:02 GMT+0330 (Iran Standard Time)",323
"178.132.82.149","Thu Dec 03 2020 11:44:03 GMT+0330 (Iran Standard Time)",144
"178.132.82.149","Thu Dec 03 2020 11:44:04 GMT+0330 (Iran Standard Time)",142
"178.132.82.149","Thu Dec 03 2020 11:44:05 GMT+0330 (Iran Standard Time)",188
"178.132.82.149","Thu Dec 03 2020 11:44:06 GMT+0330 (Iran Standard Time)",207
"178.132.82.149","Thu Dec 03 2020 11:44:07 GMT+0330 (Iran Standard Time)",137
"178.132.82.149","Thu Dec 03 2020 11:44:07 GMT+0330 (Iran Standard Time)",167
"178.132.82.149","Thu Dec 03 2020 11:44:08 GMT+0330 (Iran Standard Time)",137
"178.132.82.149","Thu Dec 03 2020 11:44:08 GMT+0330 (Iran Standard Time)",192
"178.132.82.149","Thu Dec 03 2020 11:44:09 GMT+0330 (Iran Standard Time)",170
"178.132.82.149","Thu Dec 03 2020 11:44:09 GMT+0330 (Iran Standard Time)",251
"178.132.82.149","Thu Dec 03 2020 11:44:10 GMT+0330 (Iran Standard Time)",149
"178.132.82.149","Thu Dec 03 2020 11:44:10 GMT+0330 (Iran Standard Time)",232
"178.132.82.149","Thu Dec 03 2020 11:44:11 GMT+0330 (Iran Standard Time)",254
"178.132.82.149","Thu Dec 03 2020 11:44:11 GMT+0330 (Iran Standard Time)",138
"178.132.82.149","Thu Dec 03 2020 11:44:12 GMT+0330 (Iran Standard Time)",151
"178.132.82.149","Thu Dec 03 2020 11:44:13 GMT+0330 (Iran Standard Time)",288
"178.132.82.149","Thu Dec 03 2020 11:44:13 GMT+0330 (Iran Standard Time)",170
"178.132.82.149","Thu Dec 03 2020 11:44:13 GMT+0330 (Iran Standard Time)",176
"178.132.82.149","Thu Dec 03 2020 11:44:14 GMT+0330 (Iran Standard Time)",208
"178.132.82.149","Thu Dec 03 2020 11:44:14 GMT+0330 (Iran Standard Time)",141
"178.132.82.149","Thu Dec 03 2020 11:44:14 GMT+0330 (Iran Standard Time)",141
"178.132.82.149","Thu Dec 03 2020 11:44:15 GMT+0330 (Iran Standard Time)",220
"178.132.82.149","Thu Dec 03 2020 11:44:15 GMT+0330 (Iran Standard Time)",158
"178.132.82.149","Thu Dec 03 2020 11:44:16 GMT+0330 (Iran Standard Time)",242
"178.132.82.149","Thu Dec 03 2020 11:44:16 GMT+0330 (Iran Standard Time)",242
"178.132.82.149","Thu Dec 03 2020 11:44:16 GMT+0330 (Iran Standard Time)",182
"178.132.82.149","Thu Dec 03 2020 11:44:17 GMT+0330 (Iran Standard Time)",254
"178.132.82.149","Thu Dec 03 2020 11:44:17 GMT+0330 (Iran Standard Time)",168
"178.132.82.149","Thu Dec 03 2020 11:44:45 GMT+0330 (Iran Standard Time)",201
"178.132.82.149","Thu Dec 03 2020 11:44:45 GMT+0330 (Iran Standard Time)",201
"178.132.82.149","Thu Dec 03 2020 11:44:45 GMT+0330 (Iran Standard Time)",201
"178.132.82.149","Thu Dec 03 2020 11:44:46 GMT+0330 (Iran Standard Time)",230
"178.132.82.149","Thu Dec 03 2020 11:44:47 GMT+0330 (Iran Standard Time)",259
"178.132.82.149","Thu Dec 03 2020 11:44:48 GMT+0330 (Iran Standard Time)",274
"178.132.82.149","Thu Dec 03 2020 11:44:49 GMT+0330 (Iran Standard Time)",178
"178.132.82.149","Thu Dec 03 2020 11:44:50 GMT+0330 (Iran Standard Time)",140
"178.132.82.149","Thu Dec 03 2020 11:44:51 GMT+0330 (Iran Standard Time)",146
"178.132.82.149","Thu Dec 03 2020 11:44:52 GMT+0330 (Iran Standard Time)",175
"178.132.82.149","Thu Dec 03 2020 11:44:53 GMT+0330 (Iran Standard Time)",169
"178.132.82.149","Thu Dec 03 2020 11:44:54 GMT+0330 (Iran Standard Time)",206
"178.132.82.149","Thu Dec 03 2020 11:44:55 GMT+0330 (Iran Standard Time)",137
"178.132.82.149","Thu Dec 03 2020 11:44:55 GMT+0330 (Iran Standard Time)",146
"178.132.82.149","Thu Dec 03 2020 11:44:56 GMT+0330 (Iran Standard Time)",137
"178.132.82.149","Thu Dec 03 2020 11:44:57 GMT+0330 (Iran Standard Time)",286
"178.132.82.149","Thu Dec 03 2020 11:44:57 GMT+0330 (Iran Standard Time)",277
"178.132.82.149","Thu Dec 03 2020 11:44:57 GMT+0330 (Iran Standard Time)",183
"178.132.82.149","Thu Dec 03 2020 11:44:58 GMT+0330 (Iran Standard Time)",300
"178.132.82.149","Thu Dec 03 2020 11:44:58 GMT+0330 (Iran Standard Time)",182
"178.132.82.149","Thu Dec 03 2020 11:44:59 GMT+0330 (Iran Standard Time)",183
"178.132.82.149","Thu Dec 03 2020 11:44:59 GMT+0330 (Iran Standard Time)",139
"178.132.82.149","Thu Dec 03 2020 11:45:00 GMT+0330 (Iran Standard Time)",143
"178.132.82.149","Thu Dec 03 2020 11:45:00 GMT+0330 (Iran Standard Time)",194
"178.132.82.149","Thu Dec 03 2020 11:45:16 GMT+0330 (Iran Standard Time)",174
"178.132.82.149","Thu Dec 03 2020 11:45:17 GMT+0330 (Iran Standard Time)",206
"178.132.82.149","Thu Dec 03 2020 11:45:18 GMT+0330 (Iran Standard Time)",236
"178.132.82.149","Thu Dec 03 2020 11:45:19 GMT+0330 (Iran Standard Time)",142
"178.132.82.149","Thu Dec 03 2020 11:59:39 GMT+0330 (Iran Standard Time)",214
"178.132.82.149","Thu Dec 03 2020 12:00:08 GMT+0330 (Iran Standard Time)",193
"178.132.82.149","Thu Dec 03 2020 12:00:09 GMT+0330 (Iran Standard Time)",238
"178.132.82.149","Thu Dec 03 2020 12:02:54 GMT+0330 (Iran Standard Time)",338
"178.132.82.149","Thu Dec 03 2020 12:02:54 GMT+0330 (Iran Standard Time)",152
"178.132.82.149","Thu Dec 03 2020 12:02:55 GMT+0330 (Iran Standard Time)",175
"178.132.82.149","Thu Dec 03 2020 12:02:57 GMT+0330 (Iran Standard Time)",213
"178.132.82.149","Thu Dec 03 2020 12:02:58 GMT+0330 (Iran Standard Time)",221
"178.132.82.149","Thu Dec 03 2020 12:02:58 GMT+0330 (Iran Standard Time)",221
"178.132.82.149","Thu Dec 03 2020 12:02:59 GMT+0330 (Iran Standard Time)",254
"178.132.82.149","Thu Dec 03 2020 12:03:01 GMT+0330 (Iran Standard Time)",307
"178.132.82.149","Thu Dec 03 2020 12:03:03 GMT+0330 (Iran Standard Time)",348
"178.132.82.149","Thu Dec 03 2020 12:03:03 GMT+0330 (Iran Standard Time)",157
"178.132.82.149","Thu Dec 03 2020 12:03:05 GMT+0330 (Iran Standard Time)",194
"178.132.82.149","Thu Dec 03 2020 12:03:06 GMT+0330 (Iran Standard Time)",217
"178.132.82.149","Thu Dec 03 2020 12:03:07 GMT+0330 (Iran Standard Time)",238
"178.132.82.149","Thu Dec 03 2020 12:03:07 GMT+0330 (Iran Standard Time)",136
"178.132.82.149","Thu Dec 03 2020 12:03:09 GMT+0330 (Iran Standard Time)",280
"178.132.82.149","Thu Dec 03 2020 12:03:10 GMT+0330 (Iran Standard Time)",299
"178.132.82.149","Thu Dec 03 2020 12:03:11 GMT+0330 (Iran Standard Time)",336
"178.132.82.149","Thu Dec 03 2020 12:03:11 GMT+0330 (Iran Standard Time)",152
"178.132.82.149","Thu Dec 03 2020 12:03:11 GMT+0330 (Iran Standard Time)",152
"178.132.82.149","Thu Dec 03 2020 12:03:26 GMT+0330 (Iran Standard Time)",221
"178.132.82.149","Thu Dec 03 2020 12:03:27 GMT+0330 (Iran Standard Time)",229
"178.132.82.149","Thu Dec 03 2020 12:03:28 GMT+0330 (Iran Standard Time)",265
"178.132.82.149","Thu Dec 03 2020 12:03:29 GMT+0330 (Iran Standard Time)",281
"178.132.82.149","Thu Dec 03 2020 12:03:30 GMT+0330 (Iran Standard Time)",308
"178.132.82.149","Thu Dec 03 2020 12:03:31 GMT+0330 (Iran Standard Time)",322
"178.132.82.149","Thu Dec 03 2020 12:03:32 GMT+0330 (Iran Standard Time)",144
"178.132.82.149","Thu Dec 03 2020 12:03:33 GMT+0330 (Iran Standard Time)",166
"178.132.82.149","Thu Dec 03 2020 12:03:34 GMT+0330 (Iran Standard Time)",190
"178.132.82.149","Thu Dec 03 2020 12:03:35 GMT+0330 (Iran Standard Time)",214
"178.132.82.149","Thu Dec 03 2020 12:03:36 GMT+0330 (Iran Standard Time)",136
"178.132.82.149","Thu Dec 03 2020 12:03:37 GMT+0330 (Iran Standard Time)",163
"178.132.82.149","Thu Dec 03 2020 12:03:40 GMT+0330 (Iran Standard Time)",260
"178.132.82.149","Thu Dec 03 2020 12:03:40 GMT+0330 (Iran Standard Time)",260
"178.132.82.149","Thu Dec 03 2020 12:03:41 GMT+0330 (Iran Standard Time)",276
"178.132.82.149","Thu Dec 03 2020 12:03:47 GMT+0330 (Iran Standard Time)",319
"178.132.82.149","Thu Dec 03 2020 12:03:48 GMT+0330 (Iran Standard Time)",138
"178.132.82.149","Thu Dec 03 2020 12:03:49 GMT+0330 (Iran Standard Time)",138
"178.132.82.149","Thu Dec 03 2020 12:03:50 GMT+0330 (Iran Standard Time)",187
"178.132.82.149","Thu Dec 03 2020 12:03:50 GMT+0330 (Iran Standard Time)",187
"178.132.82.149","Thu Dec 03 2020 12:03:51 GMT+0330 (Iran Standard Time)",201
"178.132.82.149","Thu Dec 03 2020 12:03:52 GMT+0330 (Iran Standard Time)",231
"178.132.82.149","Thu Dec 03 2020 12:03:53 GMT+0330 (Iran Standard Time)",252
