"dest","date","rtt"
"178.132.84.2","Thu Dec 03 2020 11:31:47 GMT+0330 (Iran Standard Time)",137
"178.132.84.2","Thu Dec 03 2020 11:31:48 GMT+0330 (Iran Standard Time)",213
"178.132.84.2","Thu Dec 03 2020 11:31:49 GMT+0330 (Iran Standard Time)",136
"178.132.84.2","Thu Dec 03 2020 11:35:07 GMT+0330 (Iran Standard Time)",225
"178.132.84.2","Thu Dec 03 2020 11:35:08 GMT+0330 (Iran Standard Time)",262
"178.132.84.2","Thu Dec 03 2020 11:35:09 GMT+0330 (Iran Standard Time)",289
"178.132.84.2","Thu Dec 03 2020 11:36:02 GMT+0330 (Iran Standard Time)",244
"178.132.84.2","Thu Dec 03 2020 11:36:03 GMT+0330 (Iran Standard Time)",146
"178.132.84.2","Thu Dec 03 2020 11:36:04 GMT+0330 (Iran Standard Time)",140
"178.132.84.2","Thu Dec 03 2020 11:36:05 GMT+0330 (Iran Standard Time)",325
"178.132.84.2","Thu Dec 03 2020 11:36:06 GMT+0330 (Iran Standard Time)",340
"178.132.84.2","Thu Dec 03 2020 11:36:07 GMT+0330 (Iran Standard Time)",166
"178.132.84.2","Thu Dec 03 2020 11:36:08 GMT+0330 (Iran Standard Time)",181
"178.132.84.2","Thu Dec 03 2020 11:36:09 GMT+0330 (Iran Standard Time)",136
"178.132.84.2","Thu Dec 03 2020 11:36:11 GMT+0330 (Iran Standard Time)",137
"178.132.84.2","Thu Dec 03 2020 11:36:12 GMT+0330 (Iran Standard Time)","unknown"
"178.132.84.2","Thu Dec 03 2020 11:36:12 GMT+0330 (Iran Standard Time)",271
"178.132.84.2","Thu Dec 03 2020 11:36:13 GMT+0330 (Iran Standard Time)",136
"178.132.84.2","Thu Dec 03 2020 11:36:14 GMT+0330 (Iran Standard Time)",145
"178.132.84.2","Thu Dec 03 2020 11:36:14 GMT+0330 (Iran Standard Time)",145
"178.132.84.2","Thu Dec 03 2020 11:37:49 GMT+0330 (Iran Standard Time)",136
"178.132.84.2","Thu Dec 03 2020 11:41:49 GMT+0330 (Iran Standard Time)",136
"178.132.84.2","Thu Dec 03 2020 11:41:50 GMT+0330 (Iran Standard Time)",229
"178.132.84.2","Thu Dec 03 2020 11:41:51 GMT+0330 (Iran Standard Time)",255
"178.132.84.2","Thu Dec 03 2020 11:41:52 GMT+0330 (Iran Standard Time)",280
"178.132.84.2","Thu Dec 03 2020 11:41:53 GMT+0330 (Iran Standard Time)",192
"178.132.84.2","Thu Dec 03 2020 11:41:55 GMT+0330 (Iran Standard Time)",327
"178.132.84.2","Thu Dec 03 2020 11:41:56 GMT+0330 (Iran Standard Time)",350
"178.132.84.2","Thu Dec 03 2020 11:41:56 GMT+0330 (Iran Standard Time)",170
"178.132.84.2","Thu Dec 03 2020 11:41:57 GMT+0330 (Iran Standard Time)",137
"178.132.84.2","Thu Dec 03 2020 11:41:59 GMT+0330 (Iran Standard Time)",235
"178.132.84.2","Thu Dec 03 2020 11:42:00 GMT+0330 (Iran Standard Time)",259
"178.132.84.2","Thu Dec 03 2020 11:42:00 GMT+0330 (Iran Standard Time)",259
"178.132.84.2","Thu Dec 03 2020 11:42:01 GMT+0330 (Iran Standard Time)",281
"178.132.84.2","Thu Dec 03 2020 11:42:02 GMT+0330 (Iran Standard Time)",165
"178.132.84.2","Thu Dec 03 2020 11:42:04 GMT+0330 (Iran Standard Time)",327
"178.132.84.2","Thu Dec 03 2020 11:42:04 GMT+0330 (Iran Standard Time)",148
"178.132.84.2","Thu Dec 03 2020 11:42:05 GMT+0330 (Iran Standard Time)",137
"178.132.84.2","Thu Dec 03 2020 11:42:08 GMT+0330 (Iran Standard Time)",157
"178.132.84.2","Thu Dec 03 2020 11:42:10 GMT+0330 (Iran Standard Time)",221
"178.132.84.2","Thu Dec 03 2020 11:42:11 GMT+0330 (Iran Standard Time)",233
"178.132.84.2","Thu Dec 03 2020 11:42:12 GMT+0330 (Iran Standard Time)",257
"178.132.84.2","Thu Dec 03 2020 11:42:13 GMT+0330 (Iran Standard Time)",281
"178.132.84.2","Thu Dec 03 2020 11:42:14 GMT+0330 (Iran Standard Time)",137
"178.132.84.2","Thu Dec 03 2020 11:42:15 GMT+0330 (Iran Standard Time)",139
"178.132.84.2","Thu Dec 03 2020 11:42:16 GMT+0330 (Iran Standard Time)",141
"178.132.84.2","Thu Dec 03 2020 11:42:17 GMT+0330 (Iran Standard Time)",136
"178.132.84.2","Thu Dec 03 2020 11:42:18 GMT+0330 (Iran Standard Time)",197
"178.132.84.2","Thu Dec 03 2020 11:42:19 GMT+0330 (Iran Standard Time)",163
"178.132.84.2","Thu Dec 03 2020 11:42:20 GMT+0330 (Iran Standard Time)",136
"178.132.84.2","Thu Dec 03 2020 11:42:22 GMT+0330 (Iran Standard Time)",282
"178.132.84.2","Thu Dec 03 2020 11:42:23 GMT+0330 (Iran Standard Time)",137
"178.132.84.2","Thu Dec 03 2020 11:42:23 GMT+0330 (Iran Standard Time)",138
"178.132.84.2","Thu Dec 03 2020 11:42:24 GMT+0330 (Iran Standard Time)",138
"178.132.84.2","Thu Dec 03 2020 11:42:25 GMT+0330 (Iran Standard Time)",265
"178.132.84.2","Thu Dec 03 2020 11:42:25 GMT+0330 (Iran Standard Time)",146
"178.132.84.2","Thu Dec 03 2020 11:42:26 GMT+0330 (Iran Standard Time)",280
"178.132.84.2","Thu Dec 03 2020 11:42:26 GMT+0330 (Iran Standard Time)",179
"178.132.84.2","Thu Dec 03 2020 11:42:27 GMT+0330 (Iran Standard Time)",307
